country,year,gdp
argentina,2015,5954510.90
australia,2015,1640535.00
austria,2015,344269.23
bahrain,2015,11675.04
bangladesh,2015,15158022.00
belgium,2015,416701.40
bosnia,2015,28589.05
botswana,2015,137539.20
brazil,2015,5995787.00
bulgaria,2015,89599.76
canada,2015,1990441.00
chile,2015,159553348.30
china,2015,2398280.00
colombia,2015,804692000.00
costa rica,2015,30171918.90
ivory coast,2015,27086150.00
croatia,2015,344034.41
cyprus,2015,17883.96
czech republic,2015,4625378.00
denmark,2015,2036356.22
ecuador,2015,99290.38
egypt,2015,2443900.00
estonia,2015,20631.36
finland,2015,211385.00
france,2015,2198432.00
germany,2015,3026180.00
greece,2015,176368.86
hong kong,2015,2398280.00
hungary,2015,34975313.00
iceland,2015,2310847.79
india,2015,137640366.48
indonesia,2015,11526332800.00
iraq,2015,207224007.26
ireland,2015,262800.05
israel,2015,1166354.20
italy,2015,1655355.00
jamaica,2015,1667193.44
japan,2015,538032300.00
jordan,2015,27396.78
kazakhstan,2015,40884134.00
kenya,2015,6284187.00
kuwait,2015,34473.32
latvia,2015,24572.13
lebanon,2015,75283607.56
lithuania,2015,37345.70
luxembourg,2015,54142.30
malawi,2015,
malaysia,2015,1176941.00
malta,2015,9996.71
mauritius,2015,409893.00
mexico,2015,18572109.40
mongolia,2015,23150385.60
montenegro,2015,3654.51
morocco,2015,987950.00
namibia,2015,146018.66
netherlands,2015,690008.00
new zealand,2015,251635.00
nigeria,2015,95177735.90
norway,2015,3111168.00
oman,2015,26307.59
pakistan,2015,27443022.50
palestinian territory,2015,
peru,2015,609364.00
philippines,2015,13944157.45
poland,2015,1801112.00
portugal,2015,179713.16
qatar,2015,588733.00
romania,2015,711929.90
russia,2015,83087360.10
rwanda,2015,6152000.00
saudi arabia,2015,2453511.80
serbia,2015,4315020.40
singapore,2015,423444.10
slovakia,2015,79888.15
slovenia,2015,38852.64
south africa,2015,4420792.50
south korea,2015,1658020400.00
spain,2015,1077590.00
sri lanka,2015,10950621.00
sweden,2015,4260470.00
switzerland,2015,675735.65
taiwan,2015,
tanzania,2015,94349315.56
thailand,2015,13743463.00
tunisia,2015,84689.20
turkey,2015,2350941.34
uganda,2015,94963000.00
ukraine,2015,1988544.00
united arab emirates,2015,1315250.58
united kingdom,2015,1935212.00
united states,2015,18238301.00
venezuela,2015,
vietnam,2015,4192862308.95
world,2015,
